packet_id,packet_md_path,packet_json_path,row_index,article_id,title,periodical,issue_id,language,article_type,review_text_chars,review_strategy,n_trigger_windows,retrieval_hint_codes,packet_article_position
chat_packet_013,chat_annotation_packets_jaleo/packets/chat_packet_013.md,chat_annotation_packets_jaleo/packets/chat_packet_013.json,61,JALEO_1978_03::A10,FLAMENCO TALK,jaleo,JALEO_1978_03,en,other,1053,full,0,,2
chat_packet_013,chat_annotation_packets_jaleo/packets/chat_packet_013.md,chat_annotation_packets_jaleo/packets/chat_packet_013.json,62,JALEO_1978_03::A11,Tortilla De Patata,jaleo,JALEO_1978_03,en,other,872,full,0,,3
chat_packet_013,chat_annotation_packets_jaleo/packets/chat_packet_013.md,chat_annotation_packets_jaleo/packets/chat_packet_013.json,63,JALEO_1978_03::A12,EL OIDO,jaleo,JALEO_1978_03,en,other,495,full,0,,4
chat_packet_013,chat_annotation_packets_jaleo/packets/chat_packet_013.md,chat_annotation_packets_jaleo/packets/chat_packet_013.json,64,JALEO_1978_03::A13,ALEGRIAS,jaleo,JALEO_1978_03,en,other,2191,full,0,,5
chat_packet_014,chat_annotation_packets_jaleo/packets/chat_packet_014.md,chat_annotation_packets_jaleo/packets/chat_packet_014.json,65,JALEO_1978_03::A14,FLAMENCO MUSIC IN PRINT,jaleo,JALEO_1978_03,en,other,4427,full,0,,1
chat_packet_014,chat_annotation_packets_jaleo/packets/chat_packet_014.md,chat_annotation_packets_jaleo/packets/chat_packet_014.json,66,JALEO_1978_03::A15,MARCH JUERGA,jaleo,JALEO_1978_03,en,other,699,full,0,,2
chat_packet_014,chat_annotation_packets_jaleo/packets/chat_packet_014.md,chat_annotation_packets_jaleo/packets/chat_packet_014.json,67,JALEO_1978_04::A1,Sevilla,jaleo,JALEO_1978_04,en,poem,3667,full,0,,3
chat_packet_014,chat_annotation_packets_jaleo/packets/chat_packet_014.md,chat_annotation_packets_jaleo/packets/chat_packet_014.json,68,JALEO_1978_04::A2,LETTERS,jaleo,JALEO_1978_04,en,other,762,full,0,,4
chat_packet_014,chat_annotation_packets_jaleo/packets/chat_packet_014.md,chat_annotation_packets_jaleo/packets/chat_packet_014.json,69,JALEO_1978_04::A3,PUNTO DE VISTA,jaleo,JALEO_1978_04,en,other,1712,full,0,,5
chat_packet_015,chat_annotation_packets_jaleo/packets/chat_packet_015.md,chat_annotation_packets_jaleo/packets/chat_packet_015.json,70,JALEO_1978_04::A4,Like A Parade!,jaleo,JALEO_1978_04,en,other,3057,full,0,,1
chat_packet_015,chat_annotation_packets_jaleo/packets/chat_packet_015.md,chat_annotation_packets_jaleo/packets/chat_packet_015.json,71,JALEO_1978_04::A5,La Feria de Sevilla,jaleo,JALEO_1978_04,en,other,3431,head_tail_windows,1,AUTH_03,2
chat_packet_015,chat_annotation_packets_jaleo/packets/chat_packet_015.md,chat_annotation_packets_jaleo/packets/chat_packet_015.json,72,JALEO_1978_04::A6,LA LUZ,jaleo,JALEO_1978_04,en,other,4258,full,0,,3
chat_packet_015,chat_annotation_packets_jaleo/packets/chat_packet_015.md,chat_annotation_packets_jaleo/packets/chat_packet_015.json,73,JALEO_1978_04::A7,TOO LONG AGAIN!,jaleo,JALEO_1978_04,en,other,3401,full,0,,4
chat_packet_015,chat_annotation_packets_jaleo/packets/chat_packet_015.md,chat_annotation_packets_jaleo/packets/chat_packet_015.json,74,JALEO_1978_04::A8,Luis de Córdoba,jaleo,JALEO_1978_04,en,other,778,full,0,,5
chat_packet_016,chat_annotation_packets_jaleo/packets/chat_packet_016.md,chat_annotation_packets_jaleo/packets/chat_packet_016.json,75,JALEO_1978_04::A9,Sevillanas,jaleo,JALEO_1978_04,en,article,4794,full,0,,1
chat_packet_016,chat_annotation_packets_jaleo/packets/chat_packet_016.md,chat_annotation_packets_jaleo/packets/chat_packet_016.json,76,JALEO_1978_04::A10,For Voice and Guitar,jaleo,JALEO_1978_04,en,article,616,full,0,,2
chat_packet_016,chat_annotation_packets_jaleo/packets/chat_packet_016.md,chat_annotation_packets_jaleo/packets/chat_packet_016.json,77,JALEO_1978_04::A11,More on Caló,jaleo,JALEO_1978_04,en,other,2885,full,0,,3
chat_packet_016,chat_annotation_packets_jaleo/packets/chat_packet_016.md,chat_annotation_packets_jaleo/packets/chat_packet_016.json,78,JALEO_1978_04::A12,Alegrías,jaleo,JALEO_1978_04,en,other,354,full,0,,4
chat_packet_016,chat_annotation_packets_jaleo/packets/chat_packet_016.md,chat_annotation_packets_jaleo/packets/chat_packet_016.json,79,JALEO_1978_04::A13,FLAMENCO TALK,jaleo,JALEO_1978_04,en,other,1124,full,0,,5
chat_packet_017,chat_annotation_packets_jaleo/packets/chat_packet_017.md,chat_annotation_packets_jaleo/packets/chat_packet_017.json,80,JALEO_1978_04::A14,FLAMENCO Guitar Method Books,jaleo,JALEO_1978_04,en,article,3941,full,0,,1
chat_packet_017,chat_annotation_packets_jaleo/packets/chat_packet_017.md,chat_annotation_packets_jaleo/packets/chat_packet_017.json,81,JALEO_1978_04::A15,EL OIDO,jaleo,JALEO_1978_04,en,other,841,full,0,,2
chat_packet_017,chat_annotation_packets_jaleo/packets/chat_packet_017.md,chat_annotation_packets_jaleo/packets/chat_packet_017.json,82,JALEO_1978_04::A16,New Flamenco Guitar Music,jaleo,JALEO_1978_04,en,article,1317,full,0,,3
chat_packet_017,chat_annotation_packets_jaleo/packets/chat_packet_017.md,chat_annotation_packets_jaleo/packets/chat_packet_017.json,83,JALEO_1978_04::A17,MARCH JUERGA,jaleo,JALEO_1978_04,en,other,3745,full,0,,4
chat_packet_017,chat_annotation_packets_jaleo/packets/chat_packet_017.md,chat_annotation_packets_jaleo/packets/chat_packet_017.json,84,JALEO_1978_04::A18,APRIL JUERGA,jaleo,JALEO_1978_04,en,other,3379,full,0,,5
chat_packet_018,chat_annotation_packets_jaleo/packets/chat_packet_018.md,chat_annotation_packets_jaleo/packets/chat_packet_018.json,85,JALEO_1978_05::A1,FINDING THE EAGLE,jaleo,JALEO_1978_05,en,other,5553,full,0,,1
chat_packet_018,chat_annotation_packets_jaleo/packets/chat_packet_018.md,chat_annotation_packets_jaleo/packets/chat_packet_018.json,86,JALEO_1978_05::A2,FLAMENCO PALMAS,jaleo,JALEO_1978_05,en,other,4277,full,0,,2
chat_packet_018,chat_annotation_packets_jaleo/packets/chat_packet_018.md,chat_annotation_packets_jaleo/packets/chat_packet_018.json,87,JALEO_1978_05::A3,LETTERS,jaleo,JALEO_1978_05,en,other,3792,full,0,,3
chat_packet_018,chat_annotation_packets_jaleo/packets/chat_packet_018.md,chat_annotation_packets_jaleo/packets/chat_packet_018.json,88,JALEO_1978_05::A4,PUNTO DE VISTA,jaleo,JALEO_1978_05,en,other,4383,full,0,,4
chat_packet_018,chat_annotation_packets_jaleo/packets/chat_packet_018.md,chat_annotation_packets_jaleo/packets/chat_packet_018.json,89,JALEO_1978_05::A5,FESTIVAL,jaleo,JALEO_1978_05,en,other,3218,head_tail_windows,1,PED_03,5
chat_packet_019,chat_annotation_packets_jaleo/packets/chat_packet_019.md,chat_annotation_packets_jaleo/packets/chat_packet_019.json,90,JALEO_1978_05::A6,The Morcas the Merrier,jaleo,JALEO_1978_05,en,other,3407,full,0,,1
chat_packet_019,chat_annotation_packets_jaleo/packets/chat_packet_019.md,chat_annotation_packets_jaleo/packets/chat_packet_019.json,91,JALEO_1978_05::A7,Gary Hayes,jaleo,JALEO_1978_05,en,other,1792,full,0,,2
chat_packet_019,chat_annotation_packets_jaleo/packets/chat_packet_019.md,chat_annotation_packets_jaleo/packets/chat_packet_019.json,92,JALEO_1978_05::A8,FOSFORITO EN LOS CANTES DE MÁLAGA,jaleo,JALEO_1978_05,en,other,1076,full,0,,3
chat_packet_019,chat_annotation_packets_jaleo/packets/chat_packet_019.md,chat_annotation_packets_jaleo/packets/chat_packet_019.json,93,JALEO_1978_05::A9,NEW FLAMENCO GUITAR MUSIC,jaleo,JALEO_1978_05,en,article,1613,full,0,,4
chat_packet_019,chat_annotation_packets_jaleo/packets/chat_packet_019.md,chat_annotation_packets_jaleo/packets/chat_packet_019.json,94,JALEO_1978_05::A10,Alegrías,jaleo,JALEO_1978_05,en,other,887,full,0,,5
chat_packet_020,chat_annotation_packets_jaleo/packets/chat_packet_020.md,chat_annotation_packets_jaleo/packets/chat_packet_020.json,95,JALEO_1978_05::A11,Music & Dances of Spain,jaleo,JALEO_1978_05,en,other,4430,full,0,,1
chat_packet_020,chat_annotation_packets_jaleo/packets/chat_packet_020.md,chat_annotation_packets_jaleo/packets/chat_packet_020.json,96,JALEO_1978_05::A12,José Molina,jaleo,JALEO_1978_05,en,poem,4053,head_tail_windows,2,"COMM_02, AUTH_03",2
chat_packet_020,chat_annotation_packets_jaleo/packets/chat_packet_020.md,chat_annotation_packets_jaleo/packets/chat_packet_020.json,97,JALEO_1978_05::A13,FLAMENCO TALK,jaleo,JALEO_1978_05,en,other,57,full,0,,3
chat_packet_020,chat_annotation_packets_jaleo/packets/chat_packet_020.md,chat_annotation_packets_jaleo/packets/chat_packet_020.json,98,JALEO_1978_05::A14,APRIl JUERGA,jaleo,JALEO_1978_05,en,other,868,full,0,,4
chat_packet_020,chat_annotation_packets_jaleo/packets/chat_packet_020.md,chat_annotation_packets_jaleo/packets/chat_packet_020.json,99,JALEO_1978_05::A15,MAY JUERGA,jaleo,JALEO_1978_05,en,other,2209,full,0,,5
chat_packet_021,chat_annotation_packets_jaleo/packets/chat_packet_021.md,chat_annotation_packets_jaleo/packets/chat_packet_021.json,100,JALEO_1978_06::A1,FLAMENCO and its NEW AUDIENCES,jaleo,JALEO_1978_06,en,other,2636,head_tail_windows,1,COMM_02,1
chat_packet_021,chat_annotation_packets_jaleo/packets/chat_packet_021.md,chat_annotation_packets_jaleo/packets/chat_packet_021.json,101,JALEO_1978_06::A2,PACO de LUCIA,jaleo,JALEO_1978_06,en,other,2932,head_tail_windows,1,COMM_04,2
chat_packet_021,chat_annotation_packets_jaleo/packets/chat_packet_021.md,chat_annotation_packets_jaleo/packets/chat_packet_021.json,102,JALEO_1978_06::A3,LETTERS,jaleo,JALEO_1978_06,en,other,2541,full,0,,3
chat_packet_021,chat_annotation_packets_jaleo/packets/chat_packet_021.md,chat_annotation_packets_jaleo/packets/chat_packet_021.json,103,JALEO_1978_06::A4,Tangos-Tientos,jaleo,JALEO_1978_06,en,other,4347,full,0,,4
chat_packet_021,chat_annotation_packets_jaleo/packets/chat_packet_021.md,chat_annotation_packets_jaleo/packets/chat_packet_021.json,104,JALEO_1978_06::A5,Tangos Today,jaleo,JALEO_1978_06,en,other,3316,head_tail_windows,1,CRIT_01,5
chat_packet_022,chat_annotation_packets_jaleo/packets/chat_packet_022.md,chat_annotation_packets_jaleo/packets/chat_packet_022.json,105,JALEO_1978_06::A6,FLAMENCO GUITAR MUSIC,jaleo,JALEO_1978_06,en,article,724,full,0,,1
chat_packet_022,chat_annotation_packets_jaleo/packets/chat_packet_022.md,chat_annotation_packets_jaleo/packets/chat_packet_022.json,106,JALEO_1978_06::A7,ROUTES,jaleo,JALEO_1978_06,en,other,187,full,0,,2
chat_packet_022,chat_annotation_packets_jaleo/packets/chat_packet_022.md,chat_annotation_packets_jaleo/packets/chat_packet_022.json,107,JALEO_1978_06::A8,FLAMENCO TALK,jaleo,JALEO_1978_06,en,other,4495,full,0,,3
chat_packet_022,chat_annotation_packets_jaleo/packets/chat_packet_022.md,chat_annotation_packets_jaleo/packets/chat_packet_022.json,108,JALEO_1978_06::A9,NEW FLAMENCO GUITAR MUSIC,jaleo,JALEO_1978_06,en,article,4191,full,0,,4
chat_packet_022,chat_annotation_packets_jaleo/packets/chat_packet_022.md,chat_annotation_packets_jaleo/packets/chat_packet_022.json,109,JALEO_1978_06::A10,THE SAN FRANCISCO SCENE,jaleo,JALEO_1978_06,en,other,1759,full,0,,5
chat_packet_023,chat_annotation_packets_jaleo/packets/chat_packet_023.md,chat_annotation_packets_jaleo/packets/chat_packet_023.json,110,JALEO_1978_06::A11,NAQUERANDO CALÓ,jaleo,JALEO_1978_06,en,other,427,full,0,,1
chat_packet_023,chat_annotation_packets_jaleo/packets/chat_packet_023.md,chat_annotation_packets_jaleo/packets/chat_packet_023.json,111,JALEO_1978_06::A12,Hasta La Vista,jaleo,JALEO_1978_06,en,other,4167,head_tail_windows,1,COMM_02,2
chat_packet_023,chat_annotation_packets_jaleo/packets/chat_packet_023.md,chat_annotation_packets_jaleo/packets/chat_packet_023.json,112,JALEO_1978_06::A13,MAY JUERGA,jaleo,JALEO_1978_06,en,other,4192,full,0,,3
